,,,,,,,,,,,,,
,,,,,,,,,,,,,
Victoire,,,,Egalit�,,,,Defeat,,,,Mis�,resultat 
Cote,Probabilit�,Gain,,Cote,Probabilit�,Gain,,Cote,Probabilit�,Gain,,,
1.75,0.82,1.435,,4.1,0.12,0.492,,5.1,0.06,0.306,,,0
1.53,0.72,1.1016,,5.5,0.17,0.935,,7.75,0.11,0.8525,,,0
1.26,0.64,0.8064,,12,0.21,2.52,,27,0.15,4.05,,,0
1.25,0.66,0.825,,7.25,0.21,1.5225,,14,0.13,1.82,,,0
1.12,0.81,0.9072,,12,0.13,1.56,,26,0.07,1.82,,,0
1.34,0.74,0.9916,,6.2,0.16,0.992,,8.75,0.11,0.9625,,,0
1.11,0.88,0.9768,,13.5,0.09,1.215,,28,0.03,0.84,,,0
1.26,0.72,0.9072,,7.25,0.17,1.2325,,14,0.11,1.54,,,0
1.5,0.69,1.035,,5.5,0.19,1.045,,8,0.12,0.96,,,0
1.51,0.74,1.1174,,4.9,0.17,0.833,,6.75,0.09,0.6075,,,1
1.5,0.69,1.035,,5.3,0.18,0.954,,6,0.13,0.78,,,0
1.18,0.77,0.9086,,8.25,0.15,1.2375,,15,0.08,1.2,,,1
1.4,0.64,0.896,,5.9,0.21,1.239,,7.8,0.16,1.248,,,0
1.56,0.63,0.9828,,5,0.21,1.05,,5.5,0.16,0.88,,,0
1.15,0.89,1.0235,,8.5,0.08,0.68,,17,0.03,0.51,,,1
2.17,0.53,1.1501,,3.5,0.24,0.84,,3.6,0.23,0.828,,,0
1.36,0.82,1.1152,,5.6,0.11,0.616,,9,0.07,0.63,,,1
1.3,0.76,0.988,,6.35,0.15,0.9525,,11.5,0.09,1.035,,,0
1.19,0.81,0.9639,,8.65,0.12,1.038,,16,0.07,1.12,,,0
1.36,0.68,0.9248,,5.4,0.19,1.026,,9,0.12,1.08,,,0
1.22,0.77,0.9394,,8.75,0.15,1.3125,,18.5,0.08,1.48,,,0
1.19,0.84,0.9996,,9.5,0.1,0.95,,16.2,0.05,0.81,,,0
1.15,0.88,1.012,,11,0.09,0.99,,23,0.03,0.69,,,1
1.45,0.6,0.87,,5.3,0.22,1.166,,7.3,0.17,1.241,,,0
1.34,0.81,1.0854,,6.75,0.12,0.81,,11.5,0.07,0.805,,,1
1.67,0.75,1.2525,,4.3,0.15,0.645,,5.7,0.1,0.57,,,0
1.26,0.79,0.9954,,7.1,0.14,0.994,,13,0.07,0.91,,,0
1.25,0.82,1.025,,7.45,0.13,0.9685,,15,0.06,0.9,,,0
2.17,0.46,0.9982,,4,0.26,1.04,,3.35,0.27,0.9045,,,0
1.78,0.58,1.0324,,4,0.25,1,,5.45,0.18,0.981,,,0
1.7,0.7,1.19,,4.1,0.18,0.738,,5,0.12,0.6,,,1
1.31,0.79,1.0349,,6,0.14,0.84,,10.2,0.08,0.816,,,1
1.45,0.69,1.0005,,7,0.19,1.33,,14,0.12,1.68,,,0
1.4,0.76,1.064,,5.6,0.15,0.84,,8.5,0.08,0.68,,,1
1.55,0.61,0.9455,,4.75,0.23,1.0925,,6.55,0.16,1.048,,,1
1.13,0.74,0.8362,,11,0.18,1.98,,22,0.08,1.76,,,0
1.24,0.76,0.9424,,8,0.15,1.2,,12.8,0.09,1.152,,,0
