,Home,Away
PSG,1962.96154785,1928.96154785
Lyon,1768.05627441,1734.05627441
Marseille,1729.07849121,1695.07849121
Lille,1712.63586426,1678.63586426
Rennes,1696.67407227,1662.67407227
Montpellier,1661.21105957,1627.21105957
Reims,1655.58129883,1621.58129883
Nice,1655.56799316,1621.56799316
Monaco,1637.55529785,1603.55529785
Bordeaux,1637.53466797,1603.53466797
Strasbourg,1627.97949219,1593.97949219
Nantes,1619.48352051,1585.48352051
Angers,1618.94348145,1584.94348145
SaintEtienne,1600.03088379,1566.03088379
Metz,1596.56176758,1562.56176758
Nimes,1586.47705078,1552.47705078
Brest,1583.38012695,1549.38012695
Dijon,1569.22607422,1535.22607422
Lens,1528.53161621,1494.53161621
Lorient,1527.06286621,1493.06286621
